CVE-2014-3646	v3.2.64~19
CVE-2014-3611	v3.2.64~21
CVE-2014-3631	v3.14.19~2
CVE-2014-3610	v3.2.64~22
CVE-2014-3673	v3.2.64~13
CVE-2014-3687	v3.2.64~12
CVE-2014-3647	v3.2.64~16
CVE-2014-3688	v3.2.64~11
CVE-2014-3917	v3.2.61~54
CVE-2014-3690	v3.2.64~10
CVE-2014-3940	v3.12.24~142
CVE-2014-4014	v3.12.23~51
CVE-2014-4652	v3.2.61~44
CVE-2014-4171	v3.2.62~26
CVE-2014-4608	v3.2.65~132
CVE-2014-4611	v3.12.24~119
CVE-2014-4654	v3.2.61~43
CVE-2014-4653	v3.2.61~42
CVE-2014-4655	v3.2.61~43
CVE-2014-4656	v3.2.61~41
CVE-2014-4667	v3.2.61~14
CVE-2014-5045	v3.12.26~6
CVE-2014-5206	v3.12.27~43
CVE-2014-5077	v3.2.63~29
CVE-2014-5207	v3.12.27~41
CVE-2014-5471	v3.2.63~51
CVE-2014-5472	v3.2.63~51
CVE-2014-6410	v3.2.66~22
CVE-2014-7284	v3.14.5~16
CVE-2014-6417	v3.2.64~69
CVE-2014-6418	v3.2.64~69
CVE-2014-7207	v3.2.64~23
CVE-2014-7283	v3.12.19~16
CVE-2014-6416	v3.2.64~69
CVE-2014-7825	v3.2.65~64
CVE-2014-7826	v3.2.65~64
CVE-2014-7841	v3.2.66~21
CVE-2014-7842	v3.2.66~20
CVE-2014-7970	v3.12.33~129
CVE-2014-7975	v3.12.31^0
CVE-2014-8086	v3.16.35~3803
CVE-2014-8133	v3.2.66~19
CVE-2014-8159	v3.2.69~53
CVE-2014-8134	v3.2.66~17
CVE-2014-8160	v3.2.67~5
CVE-2014-8989	v3.12.36~23
CVE-2014-8172	v3.12.45~53
CVE-2014-8709	v3.2.56~115
CVE-2014-8884	v3.2.66~18
CVE-2014-9419	v3.2.67~99
CVE-2014-9428	v3.14.30~93
CVE-2014-9420	v3.2.67~94
CVE-2014-9529	v3.2.67~13
CVE-2014-9584	v3.2.67~88
CVE-2014-9585	v3.2.67~83
CVE-2014-9683	v3.2.67~114
CVE-2014-9710	v3.12.45~58
CVE-2014-9728	v3.2.67~87
CVE-2014-9729	v3.2.67~87
CVE-2014-9730	v3.2.67~82
CVE-2014-9888	v3.2.85~24
CVE-2014-9895	v3.2.85~23
CVE-2014-9904	v3.12.62~6
CVE-2014-9914	v3.12.23~6
CVE-2014-9940	v3.16.45~5
CVE-2015-0239	v3.2.67~3
CVE-2014-9922	v3.2.82~11
CVE-2015-0275	v3.16.35~2156
CVE-2015-1333	v3.14.49~45
